epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9919.52,0.97888,0.94601,1.20851,0.71165,0.54936,0.64071,0.43049,1.11969,23.5702,1.16972,0.000643101,0.000643101,0.000643101
43,10154.3,0.97427,0.94024,1.20647,0.70498,0.55054,0.64054,0.43022,1.11972,23.567,1.17073,0.000628101,0.000628101,0.000628101
44,10388.8,0.97254,0.93515,1.20436,0.70236,0.55073,0.64024,0.43021,1.11926,23.5942,1.16999,0.000612981,0.000612981,0.000612981
45,10623.7,0.96855,0.93036,1.20365,0.70691,0.54936,0.6398,0.43008,1.11915,23.6257,1.16983,0.000597754,0.000597754,0.000597754
46,10858.3,0.96738,0.92318,1.19962,0.70978,0.5487,0.63956,0.42948,1.1179,23.6718,1.16803,0.000582435,0.000582435,0.000582435
47,11092.9,0.96452,0.92406,1.20194,0.71123,0.54722,0.63939,0.42952,1.11722,23.6726,1.16764,0.00056704,0.00056704,0.00056704
48,11327.9,0.96115,0.91729,1.1967,0.71373,0.547,0.6397,0.43002,1.11712,23.6802,1.16774,0.000551584,0.000551584,0.000551584
49,11562.4,0.95718,0.91417,1.19533,0.71415,0.54666,0.63956,0.42951,1.11898,23.737,1.16981,0.000536081,0.000536081,0.000536081
50,11796.9,0.95444,0.91229,1.19502,0.71717,0.5429,0.63922,0.43003,1.11962,23.7842,1.17098,0.000520548,0.000520548,0.000520548
51,12031.7,0.95326,0.90478,1.19244,0.71922,0.54375,0.63934,0.42997,1.12138,23.86,1.17233,0.000505,0.000505,0.000505
52,12266.5,0.94949,0.90732,1.19098,0.7228,0.54072,0.63927,0.43002,1.12178,23.9097,1.17295,0.000489452,0.000489452,0.000489452
53,12501.1,0.94923,0.9045,1.18956,0.71696,0.53975,0.63827,0.42976,1.12307,23.9378,1.17434,0.000473919,0.000473919,0.000473919
54,12735.7,0.94101,0.89562,1.18525,0.71451,0.5406,0.63792,0.42893,1.12319,23.9318,1.17478,0.000458416,0.000458416,0.000458416
55,12970.6,0.94617,0.89372,1.18628,0.71159,0.53921,0.63788,0.42861,1.12413,23.9152,1.17522,0.00044296,0.00044296,0.00044296
56,13205.5,0.93705,0.88775,1.18097,0.71087,0.53992,0.63645,0.42823,1.12444,23.9351,1.1749,0.000427565,0.000427565,0.000427565
57,13440.5,0.93482,0.88486,1.17966,0.70619,0.54175,0.63654,0.42857,1.12433,23.9953,1.17482,0.000412246,0.000412246,0.000412246
58,13675.2,0.92774,0.87637,1.17609,0.70904,0.54223,0.6364,0.42864,1.12466,24.0374,1.17499,0.000397019,0.000397019,0.000397019
59,13910.4,0.9319,0.87524,1.17674,0.70963,0.54388,0.63632,0.42814,1.1253,24.0431,1.17529,0.000381899,0.000381899,0.000381899
60,14145.3,0.92461,0.86935,1.17141,0.71015,0.54393,0.63579,0.42789,1.12551,24.0394,1.17469,0.000366899,0.000366899,0.000366899
61,14380.1,0.92437,0.87081,1.17437,0.70671,0.54438,0.63464,0.42717,1.12541,24.0422,1.1747,0.000352037,0.000352037,0.000352037
