epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4492.07,0.94161,0.67192,1.1346,0.84153,0.91614,0.92844,0.59688,1.04724,1.89807,1.19596,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,4640.28,0.9445,0.66854,1.13452,0.90141,0.91238,0.93196,0.60536,1.04786,1.92845,1.1961,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,4788.47,0.92029,0.65613,1.12477,0.88559,0.91162,0.93732,0.60673,1.04802,1.87102,1.18644,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,4936.81,0.92337,0.65759,1.12172,0.85931,0.92849,0.93506,0.60587,1.04196,1.85587,1.18472,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,5084.97,0.91061,0.65149,1.11683,0.82576,0.92879,0.92727,0.60225,1.03708,1.84566,1.18131,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,5233.2,0.91597,0.6514,1.12332,0.82615,0.93188,0.93051,0.60333,1.03289,1.86537,1.1823,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,5381.45,0.9146,0.6462,1.11957,0.82635,0.93427,0.92897,0.60317,1.02872,1.89986,1.17515,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,5529.46,0.90336,0.63688,1.10953,0.82895,0.93574,0.93583,0.60754,1.02709,1.88879,1.17146,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,5677.68,0.90642,0.64216,1.11123,0.83691,0.93133,0.93439,0.60756,1.02938,1.85503,1.17503,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,5825.86,0.90518,0.64101,1.11389,0.83939,0.93101,0.93679,0.61069,1.02428,1.83012,1.17305,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,5974.1,0.89342,0.63731,1.10644,0.84328,0.92058,0.93725,0.6121,1.01998,1.86468,1.17088,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,6122.27,0.8902,0.63597,1.1048,0.83633,0.91493,0.93529,0.6135,1.01743,1.86236,1.16925,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,6270.56,0.88281,0.62759,1.10159,0.82952,0.93049,0.93314,0.61221,1.01747,1.8595,1.17038,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,6418.86,0.88022,0.62323,1.09954,0.8308,0.92533,0.93665,0.61399,1.01908,1.8684,1.17119,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,6567.17,0.87619,0.62056,1.09663,0.83669,0.92744,0.93619,0.61302,1.01888,1.87134,1.17151,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
